protocol_name,reagent_raw_term,volume_per_sample_ul,dead_volume_pct,per_sample,samples_default,samples_max
DNeasy Blood & Tissue,Buffer ATL,180.0,15,yes,8.0,24.0
DNeasy Blood & Tissue,Buffer AL,200.0,15,yes,,
DNeasy Blood & Tissue,Buffer AW1,500.0,15,yes,,
DNeasy Blood & Tissue,Buffer AW2,500.0,15,yes,,
DNeasy Blood & Tissue,Buffer AE,200.0,10,yes,,
GeneJET Genomic DNA Purification Kit,Digestion Buffer,180.0,15,yes,8.0,24.0
GeneJET Genomic DNA Purification Kit,Lysis Solution,200.0,15,yes,,
GeneJET Genomic DNA Purification Kit,RNase A,20.0,10,yes,,
GeneJET Genomic DNA Purification Kit,50% ethanol,400.0,15,yes,,
GeneJET Genomic DNA Purification Kit,Wash Buffer I,500.0,15,yes,,
GeneJET Genomic DNA Purification Kit,Wash Buffer II,500.0,15,yes,,
GeneJET Genomic DNA Purification Kit,Elution Buffer,200.0,10,yes,,
MagJET Genomic DNA Kit,Digestion Solution,200.0,15,yes,4.0,12.0
MagJET Genomic DNA Kit,RNase A,20.0,10,yes,,
MagJET Genomic DNA Kit,Lysis Buffer,300.0,15,yes,,
MagJET Genomic DNA Kit,isopropanol,400.0,15,yes,,
MagJET Genomic DNA Kit,MagJET Magnetic Beads,25.0,10,yes,,
MagJET Genomic DNA Kit,Wash Buffer 1,800.0,15,yes,,
MagJET Genomic DNA Kit,Wash Buffer 2,1600.0,15,yes,,
MagJET Genomic DNA Kit,Elution Buffer,150.0,10,yes,,
Q5 Hot Start High-Fidelity 2X Master Mix,Q5 Hot Start High-Fidelity 2X Master Mix,25.0,10,yes,12.0,96.0
Q5 Hot Start High-Fidelity 2X Master Mix,forward primer,2.5,10,yes,,
Q5 Hot Start High-Fidelity 2X Master Mix,reverse primer,2.5,10,yes,,
Q5 Hot Start High-Fidelity 2X Master Mix,template DNA,1.0,0,yes,,
Q5 Hot Start High-Fidelity 2X Master Mix,nuclease-free water,19.0,10,yes,,
Q5 Hot Start High-Fidelity 2X Master Mix,mineral oil,0.0,0,no,,
Platinum II Hot-Start PCR Master Mix (2X),Platinum II Hot-Start PCR Master Mix (2X),25.0,10,yes,12.0,96.0
Platinum II Hot-Start PCR Master Mix (2X),forward primer,1.0,10,yes,,
Platinum II Hot-Start PCR Master Mix (2X),reverse primer,1.0,10,yes,,
Platinum II Hot-Start PCR Master Mix (2X),template DNA,1.0,0,yes,,
Platinum II Hot-Start PCR Master Mix (2X),nuclease-free water,22.0,10,yes,,
Platinum II Hot-Start PCR Master Mix (2X),Platinum GC Enhancer,0.0,0,no,,
JumpStart REDTaq ReadyMix,JumpStart REDTaq ReadyMix,25.0,10,yes,12.0,96.0
JumpStart REDTaq ReadyMix,forward primer,1.0,10,yes,,
JumpStart REDTaq ReadyMix,reverse primer,1.0,10,yes,,
JumpStart REDTaq ReadyMix,template DNA,1.0,0,yes,,
JumpStart REDTaq ReadyMix,PCR reagent water,22.0,10,yes,,
JumpStart REDTaq ReadyMix,mineral oil,0.0,0,no,,
JumpStart REDTaq ReadyMix,betaine,0.0,0,no,,
JumpStart REDTaq ReadyMix,DMSO,0.0,0,no,,
Agencourt AMPure XP PCR Purification,AMPure XP,90.0,10,yes,12.0,96.0
Agencourt AMPure XP PCR Purification,fresh 70% ethanol,400.0,15,yes,,
Agencourt AMPure XP PCR Purification,reagent grade water,40.0,10,yes,,
Agencourt AMPure XP PCR Purification,TE Buffer,0.0,0,no,,
MagJET NGS Cleanup and Size Selection Kit,MagJET Magnetic Beads,5.0,10,yes,12.0,96.0
MagJET NGS Cleanup and Size Selection Kit,Binding Buffer,512.0,15,yes,,
MagJET NGS Cleanup and Size Selection Kit,isopropanol,288.0,15,yes,,
MagJET NGS Cleanup and Size Selection Kit,Wash Buffer,800.0,15,yes,,
MagJET NGS Cleanup and Size Selection Kit,Elution Buffer,50.0,10,yes,,
MagJET NGS Cleanup and Size Selection Kit,DNA Fragment Mix,0.0,0,no,,
AxyPrep Mag PCR Clean-up,AxyPrep Mag PCR clean-up bead solution,90.0,10,yes,12.0,96.0
AxyPrep Mag PCR Clean-up,fresh 70% ethanol,400.0,15,yes,,
