raw_term,normalized_name,generic_overlap_group,workflow_family,stage,shareable_prep,hazard_or_handling_flag,epa_lookup_key,protocol_examples
Buffer ATL,Buffer ATL,proteinase_digest_buffer,DNA_extraction,lysis,no,standard_aqueous_buffer,digest_buffer_nonvolatile,DNeasy
Buffer AL,Buffer AL,chaotropic_binding_buffer,DNA_extraction,bind,no,chaotropic_salt_bleach_incompatible,chaotropic_salt_liquid_waste,DNeasy
Buffer AW1,Buffer AW1,chaotropic_wash_buffer_1,DNA_extraction,wash,no,chaotropic_salt_bleach_incompatible,chaotropic_salt_liquid_waste,DNeasy
Buffer AW2,Buffer AW2,ethanol_prepped_wash_buffer_2,DNA_extraction,wash,no,ethanol_added_before_use,ethanol_buffer_waste,DNeasy
Buffer AE,Buffer AE,low_salt_elution_buffer,DNA_extraction,elute,yes,low_hazard_aqueous_buffer,aqueous_buffer,DNeasy
Digestion Buffer,Digestion Buffer,proteinase_digest_buffer,DNA_extraction,lysis,no,standard_aqueous_buffer,digest_buffer_nonvolatile,GeneJET
Lysis Solution,Lysis Solution,lysis_binding_buffer_vendor_specific,DNA_extraction,lysis_bind,no,irritant_vendor_noted,chemical_buffer_waste,GeneJET
RNase A,RNase A,RNA_removal_enzyme,DNA_extraction,pre_bind,no,enzyme_aqueous_component,enzyme_aqueous_waste,GeneJET|MagJET_gDNA
50% ethanol,ethanol_50_to_100,alcohol_binding_condition,DNA_extraction,bind,no,flammable_solvent,alcohol_liquid_waste,GeneJET
Wash Buffer I,Wash Buffer I,column_wash_buffer_1,DNA_extraction,wash,no,ethanol_added_before_use,chemical_wash_waste,GeneJET
Wash Buffer II,Wash Buffer II,column_wash_buffer_2,DNA_extraction,wash,no,ethanol_added_before_use,chemical_wash_waste,GeneJET
Elution Buffer,Elution Buffer,low_salt_elution_buffer,DNA_extraction,elute,yes,low_hazard_aqueous_buffer,aqueous_buffer,GeneJET|MagJET_gDNA|MagJET_NGS
Digestion Solution,Digestion Solution,proteinase_digest_buffer,DNA_extraction,lysis,no,standard_aqueous_buffer,digest_buffer_nonvolatile,MagJET_gDNA
Lysis Buffer,Lysis Buffer,lysis_binding_buffer_vendor_specific,DNA_extraction,lysis_bind,no,check_vendor_SDS,chemical_buffer_waste,MagJET_gDNA
MagJET Magnetic Beads,MagJET Magnetic Beads,paramagnetic_DNA_binding_beads,DNA_extraction,bind,no,bead_suspension,solid_liquid_bead_waste,MagJET_gDNA|MagJET_NGS
isopropanol,isopropanol,alcohol_binding_condition,DNA_extraction,bind,no,flammable_solvent,isopropanol_liquid_waste,MagJET_gDNA|MagJET_NGS
Wash Buffer 1,Wash Buffer 1,magnetic_bead_wash_buffer_1,DNA_extraction,wash,no,ethanol_added_before_use,chemical_wash_waste,MagJET_gDNA
Wash Buffer 2,Wash Buffer 2,magnetic_bead_wash_buffer_2,DNA_extraction,wash,no,ethanol_added_before_use,chemical_wash_waste,MagJET_gDNA
Q5 Hot Start High-Fidelity 2X Master Mix,Q5 Hot Start High-Fidelity 2X Master Mix,PCR_master_mix,PCR,master_mix,no,enzyme_dNTP_mix,PCR_mix_small_volume,Q5
Platinum II Hot-Start PCR Master Mix (2X),Platinum II Hot-Start PCR Master Mix (2X),PCR_master_mix,PCR,master_mix,no,enzyme_dNTP_mix,PCR_mix_small_volume,Platinum_II
JumpStart REDTaq ReadyMix,JumpStart REDTaq ReadyMix,PCR_master_mix,PCR,master_mix,no,contains_tracking_dye,PCR_dye_mix_waste,JumpStart
forward primer,forward_primer,primer,PCR,setup,yes,oligo_aqueous,oligo_aqueous,Q5|Platinum_II|JumpStart
reverse primer,reverse_primer,primer,PCR,setup,yes,oligo_aqueous,oligo_aqueous,Q5|Platinum_II|JumpStart
template DNA,template_DNA,DNA_template,PCR,setup,no,DNA_sample,dna_sample_low_hazard,Q5|Platinum_II|JumpStart
nuclease-free water,nuclease_free_water,PCR_water,PCR,setup,yes,low_hazard_aqueous_buffer,aqueous_buffer,Q5|Platinum_II
PCR reagent water,PCR_reagent_water,PCR_water,PCR,setup,yes,low_hazard_aqueous_buffer,aqueous_buffer,JumpStart
Platinum GC Enhancer,GC_Enhancer,PCR_additive,PCR,optional_additive,no,check_vendor_SDS,PCR_additive_waste,Platinum_II
mineral oil,mineral_oil,overlay_oil,PCR,optional_overlay,no,hydrocarbon_oil,oil_waste,Q5|JumpStart
betaine,betaine,PCR_additive,PCR,optional_additive,no,chemical_additive,PCR_additive_waste,JumpStart
DMSO,DMSO,PCR_additive,PCR,optional_additive,no,solvent,DMSO_liquid_waste,JumpStart
AMPure XP,AMPure XP,paramagnetic_PCR_cleanup_beads,Bead_cleanup,bind,no,bead_suspension,solid_liquid_bead_waste,AMPure_XP
fresh 70% ethanol,ethanol_70,ethanol_wash,Bead_cleanup,wash,yes,flammable_solvent,ethanol_liquid_waste,AMPure_XP|AxyPrep
reagent grade water,reagent_grade_water,elution_water,Bead_cleanup,elute,yes,low_hazard_aqueous_buffer,aqueous_buffer,AMPure_XP
TE Buffer,TE_Buffer,elution_buffer,Bead_cleanup,elute,yes,EDTA_containing_aqueous_buffer,aqueous_buffer_TE,AMPure_XP
Binding Buffer,Binding Buffer,magnetic_binding_buffer,Bead_cleanup,bind,no,chemical_buffer,chemical_buffer_waste,MagJET_NGS
Wash Buffer,Wash Buffer,magnetic_bead_wash_buffer,Bead_cleanup,wash,no,ethanol_or_vendor_prep_required,chemical_wash_waste,MagJET_NGS
DNA Fragment Mix,DNA_Fragment_Mix,calibration_or_control_mix,Bead_cleanup,calibration,no,DNA_mix,dna_sample_low_hazard,MagJET_NGS
AxyPrep Mag PCR clean-up bead solution,AxyPrep_bead_solution,paramagnetic_PCR_cleanup_beads,Bead_cleanup,bind,no,bead_suspension,solid_liquid_bead_waste,AxyPrep
