CASRN,Chemical Name,De Minimis,Category Description,Category Member,Additional Information
71751-41-2,Abamectin,1.0,,,
30560-19-1,Acephate,1.0,,,
75-07-0,Acetaldehyde,0.1,,,
60-35-5,Acetamide,0.1,,,
75-05-8,Acetonitrile,1.0,,,
98-86-2,Acetophenone,1.0,,,
53-96-3,2-Acetylaminofluorene,0.1,,,
62476-59-9,"Acifluorfen, sodium salt",1.0,,,
107-02-8,Acrolein,0.1,,,
79-06-1,Acrylamide,0.1,,,
79-10-7,Acrylic acid,1.0,,,
107-13-1,Acrylonitrile,0.1,,,
15972-60-8,Alachlor,1.0,,,
116-06-3,Aldicarb,1.0,,,
309-00-2,Aldrin,*,,,
28434-00-6,d-trans-Allethrin,1.0,,,
107-18-6,Allyl alcohol,1.0,,,
107-11-9,Allylamine,1.0,,,
107-05-1,Allyl chloride,1.0,,,
7429-90-5,Aluminum (fume or dust),1.0,,,Chemical qualifier: Reportable only in a fume or dust form.
1344-28-1,Aluminum oxide (fibrous forms) (Alumina) ,1.0,,,Chemical qualifier: Reportable only in a fibrous form.
20859-73-8,Aluminum phosphide,1.0,,,
834-12-8,Ametryn,1.0,,,
117-79-3,2-Aminoanthraquinone,0.1,,,
60-09-3,4-Aminoazobenzene,0.1,,,
92-67-1,4-Aminobiphenyl,0.1,,,
81-49-2,"1-Amino-2,4-dibromoanthraquinone",0.1,,,
82-28-0,1-Amino-2-methylanthraquinone,0.1,,,
33089-61-1,Amitraz,1.0,,,
61-82-5,Amitrole,0.1,,,
7664-41-7,Ammonia (includes anhydrous ammonia and aqueous ammonia from water dissociable ammonium salts and other sources; 10 percent of total aqueous ammonia is reportable under this listing),1.0,,,Chemical qualifer: 10% of the aqueous form is reportable. 100% of the anhydrous form is reportable.  
101-05-3,Anilazine,1.0,,,
62-53-3,Aniline,0.1,,,
90-04-0,o-Anisidine,0.1,,,
104-94-9,p-Anisidine,1.0,,,
134-29-2,o-Anisidine hydrochloride,0.1,,,
120-12-7,Anthracene,0.1,,,
7440-36-0,Antimony,1.0,,,
7440-38-2,Arsenic,0.1,,,
1332-21-4,Asbestos (friable),0.1,,,Chemical qualifier: Reportable only in a friable form.
1912-24-9,Atrazine,1.0,,,
7440-39-3,Barium,1.0,,,
22781-23-3,Bendiocarb,1.0,,,
1861-40-1,Benfluralin,1.0,,,
17804-35-2,Benomyl,1.0,,,
98-87-3,Benzal chloride,1.0,,,
55-21-0,Benzamide,1.0,,,
71-43-2,Benzene,0.1,,,
92-87-5,Benzidine,0.1,,,
