CASRN,Chemical Name
2742694-36-4,"Acetamide, N-(2-aminoethyl)-, 2-[(_-_-perfluoro-C4-20-alkyl)thio] derivs., polymers with N1,N1-dimethyl-1,3-propanediamine, epichlorohydrin and ethylenediamine, oxidized"
2738952-61-7,"Acetamide, N-[3-(dimethylamino)propyl]-, 2-[(_-_-perfluoro-C4-20-alkyl)thio] derivs."
3030471-22-5,"Acetic acid, [(_-_-perfluoro-C8-10-alkyl)thio] derivs., Bu esters"
2744262-09-5,"Acetic acid, 2-[(_-_-perfluoro-C4-20-alkyl)thio] derivs., 2-hydroxypropyl esters"
68391-08-2,"Alcohols, C8-14, _-_-perfluoro"
2728655-42-1,"Alcohols, C8-16, _-_-perfluoro, reaction products with 1,6-diisocyanatohexane, glycidol and stearyl alc."
97659-47-7,"Alkenes, C8-14 _-, _-_-perfluoro"
68188-12-5,"Alkyl iodides, C4-20, _-_-perfluoro"
10495-86-0,Ammonium perfluorobutanoate
3108-42-7,Ammonium perfluorodecanoate
21615-47-4,Ammonium perfluorohexanoate 
3825-26-1,Ammonium perfluorooctanoate
68515-62-8,"1,4-Benzenedicarboxylic acid, dimethyl ester, reaction products with bis(2-hydroxyethyl)terephthalate, ethylene glycol, _-fluoro-_-(2-hydroxyethyl)poly(difluoromethylene), hexakis(methoxymethyl)melamine and polyethylene glycol"
2816091-53-7,"Betaines, dimethyl(.gamma.-.omega.-perfluoro-.gamma.-hydro-C8-18-alkyl) "
68187-25-7,"Butanoic acid, 4-[[3-(dimethylamino)propyl]amino]-4-oxo-, 2(or 3)-[(_-_-perfluoro-C6-20-alkyl)thio] derivs."
383-07-3,2-[Butyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl acrylate
68141-02-6,Chromium(III) perfluorooctanoate
67584-42-3,"Cyclohexanesulfonic acid, decafluoro(pentafluoroethyl)-, potassium salt"
68156-07-0,"Cyclohexanesulfonic acid, decafluoro(trifluoromethyl)-, potassium salt"
68156-01-4,"Cyclohexanesulfonic acid, nonafluorobis(trifluoromethyl)-, potassium salt"
3107-18-4,"Cyclohexanesulfonic acid, undecafluoro-, potassium salt"
2043-53-0,"Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-10-iodo-"
67906-42-7,"1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-, ammonium salt"
27619-90-5,"1-Decanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-"
