family,vendor,protocol_name,primary_technique,why_selected,key_overlap_points
Bead_cleanup,Beckman Coulter,Agencourt AMPure XP PCR Purification (96-well),SPRI_cleanup_amplicon_96,Canonical 1.8X SPRI cleanup for PCR products in 96-well format.,beads + ethanol wash + low-salt elution + magnetic plate + liquid-handler compatible
Bead_cleanup,Beckman Coulter,Agencourt AMPure XP PCR Purification (384-well),SPRI_cleanup_amplicon_384,Same AMPure chemistry in 384-well format to create strong automation/equipment overlap.,beads + ethanol wash + low-salt elution + magnetic plate + liquid-handler compatible
Bead_cleanup,Roche/KAPA,KAPA Pure Beads Genomic DNA Cleanup (3X),SPRI_gDNA_cleanup_3X,High-volume cleanup with 3X bead-to-sample ratio.,beads + ethanol wash + low-salt elution + magnetic rack + automation-friendly
Bead_cleanup,Roche/KAPA,KAPA Pure Beads Dual Size Selection (0.6X/0.8X),SPRI_dual_size_selection,Two-cut size selection for library cleanup.,beads + ethanol wash + low-salt elution + magnetic rack + automation-friendly
Bead_cleanup,Roche/KAPA,KAPA HyperPure Beads Genomic DNA Cleanup (3X),SPRI_gDNA_cleanup_3X,HyperPure 3X genomic DNA cleanup variant.,beads + ethanol wash + low-salt elution + magnetic rack + automation-friendly
Bead_cleanup,Thermo Scientific,MagJET NGS Cleanup Protocol A,magnetic_cleanup_single,DNA fragment library cleanup from PCR or end-conversion reaction mixes.,beads + binding mix + wash solution + elution + KingFisher/automation-compatible
Bead_cleanup,Thermo Scientific,MagJET NGS Adapter Removal Protocol B,magnetic_adapter_dimer_removal,Two-pass adapter removal protocol.,beads + binding mix + wash solution + elution + KingFisher/automation-compatible
Bead_cleanup,MACHEREY-NAGEL,NucleoMag NGS Single Cleanup (1.0X),magnetic_cleanup_single,Single-size selection / cleanup with 1.0X bead-to-sample ratio.,beads + 80% ethanol + low-salt elution + NucleoMag SEP + automation-compatible
Bead_cleanup,Zymo Research,Select-a-Size Left-Sided Cleanup (300 bp peak),magbead_left_cleanup,Left-sided cleanup around a 300 bp peak from a 50 uL input sample.,beads + DNA wash buffer + low-salt elution + magnetic rack + automation-ready
DNA_extraction,QIAGEN,DNeasy 96 Blood & Tissue (Demo 96-well),spin_column_96_dna_extraction,"High-throughput DNeasy 96 workflow added only to create overlap with wash solvents, elution, plates, and automation prep.",ethanol-prepped washes + low-salt elution + plate processing + shared setup
DNA_extraction,Thermo Scientific,GeneJET Genomic DNA Purification (Demo high-throughput),spin_column_dna_extraction,"GeneJET high-volume mock row to surface overlap in ethanol, elution, tips, and plate setup.",ethanol binding/washes + low-salt elution + shared setup
DNA_extraction,Thermo Scientific,MagJET Genomic DNA Kit Protocol A (KingFisher Flex 96),magnetic_bead_dna_extraction,MagJET automation-compatible genomic DNA protocol with strong overlap to bead cleanup equipment.,magnetic beads + wash buffers + elution + KingFisher + plates
PCR,NEB,Q5 Hot Start High-Fidelity 2X Master Mix (Demo 96-well),endpoint_pcr_96,"High-throughput Q5 PCR setup with shared master mix, water, tips, thermocycler, and liquid handler prep.",PCR master mix + primers + water + thermocycler + plate setup
PCR,Invitrogen,Platinum II Hot-Start Green PCR Master Mix (Demo 96-well),endpoint_pcr_96,"Platinum II Green PCR setup added for overlap in water, primers, thermocycler, and plate setup.",PCR master mix + primers + water + thermocycler + plate setup
PCR,Sigma-Aldrich,JumpStart REDTaq ReadyMix (Demo 96-well),endpoint_pcr_96,JumpStart ReadyMix high-throughput PCR with direct-load format but same shared setup/resources.,PCR master mix + primers + water + thermocycler + plate setup
